t;U;U
[s];[V];[V]

3,610;-0,06;0,04
3,620;-0,06;0,04
3,630;-0,06;0,04
3,640;-0,06;0,05
3,650;-0,06;0,05
3,660;-0,06;0,05
3,670;-0,07;0,05
3,680;-0,07;0,05
3,690;-0,07;0,05
3,700;-0,07;0,05
3,710;-0,07;0,05
3,720;-0,07;0,06
3,730;-0,07;0,06
3,740;-0,07;0,06
3,750;-0,07;0,06
3,760;-0,07;0,06
3,770;-0,07;0,06
3,780;-0,07;0,06
3,790;-0,07;0,06
3,800;-0,07;0,06
3,810;-0,07;0,06
3,820;-0,07;0,06
3,830;-0,07;0,06
3,840;-0,07;0,06
3,850;-0,07;0,06
3,860;-0,07;0,06
3,870;-0,07;0,06
3,880;-0,07;0,06
3,890;-0,07;0,06
3,900;-0,07;0,06
3,910;-0,06;0,06
3,920;-0,06;0,06
3,930;-0,06;0,06
3,940;-0,06;0,06
3,950;-0,06;0,06
3,960;-0,06;0,06
3,970;-0,06;0,06
3,980;-0,06;0,06
3,990;-0,06;0,06
4,000;-0,05;0,05
4,010;-0,05;0,05
4,020;-0,05;0,05
4,030;-0,05;0,05
4,040;-0,05;0,05
4,050;-0,05;0,04
4,060;-0,05;0,04
4,070;-0,04;0,04
4,080;-0,04;0,04
4,090;-0,04;0,04
4,100;-0,04;0,03
4,110;-0,03;0,03
4,120;-0,03;0,03
4,130;-0,03;0,03
4,140;-0,02;0,03
4,150;-0,02;0,03
4,160;-0,02;0,02
4,170;-0,01;0,02
4,180;-0,01;0,02
4,190;-0,01;0,02
4,200;-0,01;0,01
4,210;-0,00;0,01
4,220;0,00;0,01
4,230;0,00;0,01
4,240;0,01;0,00
4,250;0,01;0,00
4,260;0,01;-0,00
4,270;0,02;-0,00
4,280;0,02;-0,01
4,290;0,02;-0,01
4,300;0,03;-0,01
4,310;0,03;-0,01
4,320;0,03;-0,02
4,330;0,04;-0,02
4,340;0,04;-0,02
4,350;0,04;-0,02
4,360;0,05;-0,02
4,370;0,05;-0,02
4,380;0,05;-0,03
4,390;0,06;-0,03
4,400;0,06;-0,03
4,410;0,06;-0,03
4,420;0,06;-0,03
4,430;0,06;-0,03
4,440;0,07;-0,04
4,450;0,07;-0,04
4,460;0,07;-0,04
4,470;0,07;-0,04
