t;U;U
[s];[V];[V]

3,850;-0,11;-0,08
3,860;-0,11;-0,07
3,870;-0,10;-0,07
3,880;-0,10;-0,06
3,890;-0,10;-0,06
3,900;-0,09;-0,06
3,910;-0,09;-0,05
3,920;-0,09;-0,05
3,930;-0,08;-0,05
3,940;-0,08;-0,04
3,950;-0,08;-0,04
3,960;-0,07;-0,04
3,970;-0,07;-0,03
3,980;-0,07;-0,03
3,990;-0,06;-0,02
4,000;-0,06;-0,02
4,010;-0,05;-0,02
4,020;-0,05;-0,01
4,030;-0,05;-0,01
4,040;-0,04;-0,01
4,050;-0,04;-0,00
4,060;-0,03;0,00
4,070;-0,03;0,00
4,080;-0,02;0,01
4,090;-0,02;0,01
4,100;-0,01;0,01
4,110;-0,01;0,02
4,120;-0,00;0,02
4,130;0,00;0,03
4,140;0,01;0,03
4,150;0,01;0,03
4,160;0,02;0,03
4,170;0,02;0,03
4,180;0,03;0,04
4,190;0,03;0,04
4,200;0,03;0,05
4,210;0,04;0,05
4,220;0,04;0,05
4,230;0,05;0,06
4,240;0,05;0,06
4,250;0,05;0,06
4,260;0,06;0,06
4,270;0,06;0,07
4,280;0,07;0,07
4,290;0,07;0,07
4,300;0,07;0,07
4,310;0,08;0,08
4,320;0,08;0,08
4,330;0,09;0,08
4,340;0,09;0,09
4,350;0,09;0,09
4,360;0,09;0,09
4,370;0,10;0,09
4,380;0,10;0,10
4,390;0,10;0,10
4,400;0,10;0,10
4,410;0,10;0,10
4,420;0,11;0,11
4,430;0,11;0,11
4,440;0,11;0,11
4,450;0,11;0,11
4,460;0,11;0,11
4,470;0,11;0,11
4,480;0,11;0,11
4,490;0,11;0,12
4,500;0,12;0,11
4,510;0,12;0,11
4,520;0,12;0,11
4,530;0,12;0,11
4,540;0,12;0,11
4,550;0,12;0,11
4,560;0,12;0,11
4,570;0,12;0,11
4,580;0,12;0,11
4,590;0,12;0,11
4,600;0,12;0,11
4,610;0,11;0,11
4,620;0,11;0,11
4,630;0,11;0,11
4,640;0,11;0,11
4,650;0,11;0,11
4,660;0,11;0,10
4,670;0,10;0,10
4,680;0,10;0,10
4,690;0,10;0,10
4,700;0,10;0,10
4,710;0,10;0,10
4,720;0,09;0,09
4,730;0,09;0,09
4,740;0,09;0,09
4,750;0,09;0,09
4,760;0,08;0,09
4,770;0,08;0,08
4,780;0,08;0,08
4,790;0,07;0,08
4,800;0,07;0,08
4,810;0,06;0,07
4,820;0,06;0,07
4,830;0,06;0,07
4,840;0,05;0,07
4,850;0,05;0,06
4,860;0,04;0,06
4,870;0,04;0,06
4,880;0,03;0,05
4,890;0,03;0,05
4,900;0,02;0,05
4,910;0,02;0,04
4,920;0,01;0,04
4,930;0,01;0,04
4,940;0,00;0,03
4,950;-0,00;0,03
4,960;-0,00;0,03
4,970;-0,01;0,02
4,980;-0,01;0,02
4,990;-0,02;0,02
5,000;-0,02;0,01
5,010;-0,03;0,01
5,020;-0,03;0,01
5,030;-0,04;0,00
5,040;-0,04;-0,00
5,050;-0,04;-0,00
5,060;-0,05;-0,01
5,070;-0,05;-0,01
5,080;-0,06;-0,01
5,090;-0,06;-0,02
5,100;-0,07;-0,02
5,110;-0,07;-0,02
5,120;-0,07;-0,03
5,130;-0,08;-0,03
5,140;-0,08;-0,03
5,150;-0,08;-0,04
5,160;-0,09;-0,04
5,170;-0,09;-0,04
5,180;-0,09;-0,05
5,190;-0,10;-0,05
5,200;-0,10;-0,05
5,210;-0,10;-0,05
5,220;-0,11;-0,06
5,230;-0,11;-0,06
5,240;-0,11;-0,06
5,250;-0,11;-0,07
5,260;-0,12;-0,07
5,270;-0,12;-0,07
5,280;-0,12;-0,08
5,290;-0,12;-0,08
5,300;-0,13;-0,08
5,310;-0,13;-0,08
5,320;-0,13;-0,08
5,330;-0,14;-0,09
5,340;-0,14;-0,09
5,350;-0,14;-0,09
5,360;-0,14;-0,09
5,370;-0,14;-0,09
5,380;-0,14;-0,09
5,390;-0,14;-0,10
5,400;-0,14;-0,10
5,410;-0,15;-0,10
5,420;-0,15;-0,10
5,430;-0,15;-0,10
5,440;-0,15;-0,10
5,450;-0,15;-0,10
5,460;-0,15;-0,10
5,470;-0,15;-0,10
5,480;-0,15;-0,11
5,490;-0,15;-0,11
5,500;-0,15;-0,11
5,510;-0,15;-0,11
5,520;-0,15;-0,11
5,530;-0,15;-0,11
5,540;-0,15;-0,11
5,550;-0,15;-0,11
5,560;-0,15;-0,11
5,570;-0,15;-0,11
5,580;-0,15;-0,11
5,590;-0,15;-0,11
5,600;-0,15;-0,11
5,610;-0,15;-0,11
5,620;-0,15;-0,11
5,630;-0,14;-0,11
5,640;-0,14;-0,11
5,650;-0,14;-0,11
5,660;-0,14;-0,11
5,670;-0,14;-0,11
5,680;-0,14;-0,11
5,690;-0,14;-0,10
5,700;-0,13;-0,10
5,710;-0,13;-0,10
5,720;-0,13;-0,10
5,730;-0,13;-0,10
5,740;-0,12;-0,09
5,750;-0,12;-0,09
5,760;-0,12;-0,09
5,770;-0,11;-0,09
5,780;-0,11;-0,08
5,790;-0,11;-0,08
5,800;-0,11;-0,08
5,810;-0,10;-0,07
5,820;-0,10;-0,07
5,830;-0,09;-0,07
5,840;-0,09;-0,07
5,850;-0,09;-0,06
5,860;-0,08;-0,06
5,870;-0,08;-0,05
5,880;-0,08;-0,05
5,890;-0,07;-0,05
5,900;-0,07;-0,05
5,910;-0,06;-0,04
5,920;-0,06;-0,04
5,930;-0,06;-0,03
5,940;-0,05;-0,03
5,950;-0,05;-0,02
5,960;-0,04;-0,02
5,970;-0,04;-0,02
5,980;-0,03;-0,01
5,990;-0,03;-0,01
6,000;-0,02;-0,00
6,010;-0,02;-0,00
6,020;-0,02;0,00
6,030;-0,01;0,01
6,040;-0,01;0,01
6,050;-0,00;0,01
6,060;-0,00;0,02
6,070;0,00;0,02
6,080;0,01;0,03
6,090;0,01;0,03
6,100;0,02;0,03
6,110;0,02;0,04
